Obs1 1 1 1 0 2 1 3 6 2 5 1 32 3.7 1 1 4 5 7 3 3 5 95 6 7 100 4 0 6 4 0 100 7 1 
Obs2 2 1 1 0 3 0 3 7 4 0 1 28 3.7 0 0 7 0 10 6 5 2 10 5 7 60 6 5 8 2 0 100 9 1 
Obs3 3 1 1 1 2 1 0 0 8 6 1 30 4 6 10 1 2 2 4 5 2 100 5 5 150 6 1 5 9 0 100 3 1 
Obs4 4 1 1 0 2 1 0 0 7 4 0 24 3.9 20 35 0 0 3 4 10 5 100 5 10 70 5 2 4 8 15 0 1 1 
Obs5 5 0 0 1 2 1 0 0 5 1 1 31 3.5 12 25 2 1 1 3 3 0 100 5 10 90 4 2 7 9 0 50 5 1 
Obs6 6 1 1 0 2 1 0 1 7 5 1 28 3.8 8 3 1 1 5 2 8 7 75 2 8 115 2 0 6 8 0 90 5 1 
Obs7 7 1 1 0 3 1 1 0 7 5 0 19 3.4 1 0 4 3 4 4 5 6 66 2 9 44 4 0 5 8 0 10 1 1 
Obs8 8 1 1 0 3 1 2 0 5 5 0 27 3.2 0 0 0 1 4 5 2 5 50 5 10 10 0 0 5 8 0 0 6 1 
Obs9 9 0 0 0 1 1 5 5 3 2 1 31 3.9 1 3 4 2 5 8 6 5 100 5 10 70 2 0 5 7 5 20 10 1 
Obs10 10 0 0 0 3 1 1 0 7 6 0 27 3 0 0 2 3 4 2 2 0 150 5 10 30 2 0 5 8 0 0 10 1 
Obs11 11 1 1 0 1 1 0 0 5 4 1 27 3.4 0 0 0 0 5 1 2 6 100 5 5 105 6 1 6 10 0 50 6 1 
Obs12 12 0 0 0 2 1 3 2 10 0 0 23 3.5 1 0 16 7 4 4 1 10 999 1 5 170 8 0 3 6 0 100 10 1 
Obs13 13 1 1 0 2 1 0 1 5 2 0 26 3.5 8 4 0 0 8 6 6 10 120 5 9 900 1 0 5 9 0 100 7 1 
Obs14 14 1 1 0 1 1 0 6 1 3 0 27 3.8 6 3 1 1 1 3 3 5 70 5 10 85 3 4 5 8 0 90 7 1 
